Arc3,AssistPts,AtRim,Corner3,LongMidRange,ShortMidRange,source,target,value,Season,teamId,Team,sourceName,targetName
1,11,4,0,0,0,203114,201577,5,2019-20,1610612749,Bucks,Khris Middleton,Robin Lopez
3,53,11,6,1,1,203114,201588,22,2019-20,1610612749,Bucks,Khris Middleton,George Hill
9,50,4,5,0,0,203114,202083,18,2019-20,1610612749,Bucks,Khris Middleton,Wesley Matthews
2,61,24,1,1,1,203114,202339,29,2019-20,1610612749,Bucks,Khris Middleton,Eric Bledsoe
8,168,63,0,2,7,203114,203507,80,2019-20,1610612749,Bucks,Khris Middleton,Giannis Antetokounmpo
2,27,5,3,0,1,203507,101141,11,2019-20,1610612749,Bucks,Giannis Antetokounmpo,Ersan Ilyasova
18,127,14,9,1,8,203507,201572,50,2019-20,1610612749,Bucks,Giannis Antetokounmpo,Brook Lopez
2,37,3,7,0,2,203507,201577,14,2019-20,1610612749,Bucks,Giannis Antetokounmpo,Robin Lopez
9,67,11,4,1,2,203507,201588,27,2019-20,1610612749,Bucks,Giannis Antetokounmpo,George Hill
22,118,8,10,1,2,203507,202083,43,2019-20,1610612749,Bucks,Giannis Antetokounmpo,Wesley Matthews
9,90,21,3,2,4,203507,202339,39,2019-20,1610612749,Bucks,Giannis Antetokounmpo,Eric Bledsoe
24,160,14,8,10,8,203507,203114,64,2019-20,1610612749,Bucks,Giannis Antetokounmpo,Khris Middleton
1,11,1,2,0,0,203648,201577,4,2019-20,1610612749,Bucks,Thanasis Antetokounmpo,Robin Lopez
0,2,1,0,0,0,2594,1627733,1,2019-20,1610612749,Bucks,Kyle Korver,Dragan Bender
0,5,1,1,0,0,2594,1628425,2,2019-20,1610612749,Bucks,Kyle Korver,Sterling Brown
1,3,0,0,0,0,101107,1626192,1,2019-20,1610612749,Bucks,Marvin Williams,Pat Connaughton
1,3,0,0,0,0,101107,1628425,1,2019-20,1610612749,Bucks,Marvin Williams,Sterling Brown
2,10,2,0,0,0,101107,1628978,4,2019-20,1610612749,Bucks,Marvin Williams,Donte DiVincenzo
0,4,1,0,0,1,101107,201572,2,2019-20,1610612749,Bucks,Marvin Williams,Brook Lopez
0,2,1,0,0,0,101107,201577,1,2019-20,1610612749,Bucks,Marvin Williams,Robin Lopez
0,4,1,0,0,1,101107,202339,2,2019-20,1610612749,Bucks,Marvin Williams,Eric Bledsoe
0,7,2,1,0,0,101107,203507,3,2019-20,1610612749,Bucks,Marvin Williams,Giannis Antetokounmpo
1,3,0,0,0,0,101141,1626192,1,2019-20,1610612749,Bucks,Ersan Ilyasova,Pat Connaughton
1,3,0,0,0,0,101141,1627733,1,2019-20,1610612749,Bucks,Ersan Ilyasova,Dragan Bender
2,8,1,0,0,0,101141,1628425,3,2019-20,1610612749,Bucks,Ersan Ilyasova,Sterling Brown
1,13,4,0,1,0,101141,1628978,6,2019-20,1610612749,Bucks,Ersan Ilyasova,Donte DiVincenzo
0,9,3,1,0,0,101141,202339,4,2019-20,1610612749,Bucks,Ersan Ilyasova,Eric Bledsoe
0,4,2,0,0,0,101141,203507,2,2019-20,1610612749,Bucks,Ersan Ilyasova,Giannis Antetokounmpo
1,8,1,1,0,0,1626192,101107,3,2019-20,1610612749,Bucks,Pat Connaughton,Marvin Williams
7,44,4,1,2,4,1626192,101141,18,2019-20,1610612749,Bucks,Pat Connaughton,Ersan Ilyasova
8,40,3,2,0,2,1626192,201572,15,2019-20,1610612749,Bucks,Pat Connaughton,Brook Lopez
3,29,5,2,0,2,1626192,201577,12,2019-20,1610612749,Bucks,Pat Connaughton,Robin Lopez
3,17,4,0,0,0,1626192,201588,7,2019-20,1610612749,Bucks,Pat Connaughton,George Hill
2,9,0,1,0,0,1626192,202083,3,2019-20,1610612749,Bucks,Pat Connaughton,Wesley Matthews
1,13,2,0,2,1,1626192,203114,6,2019-20,1610612749,Bucks,Pat Connaughton,Khris Middleton
1,17,6,0,1,0,1626192,203507,8,2019-20,1610612749,Bucks,Pat Connaughton,Giannis Antetokounmpo
1,3,0,0,0,0,1628391,101141,1,2019-20,1610612749,Bucks,D.J. Wilson,Ersan Ilyasova
1,3,0,0,0,0,1628391,202083,1,2019-20,1610612749,Bucks,D.J. Wilson,Wesley Matthews
1,3,0,0,0,0,1628391,202339,1,2019-20,1610612749,Bucks,D.J. Wilson,Eric Bledsoe
1,3,0,0,0,0,1628412,101141,1,2019-20,1610612749,Bucks,Frank Mason,Ersan Ilyasova
1,3,0,0,0,0,1628412,201577,1,2019-20,1610612749,Bucks,Frank Mason,Robin Lopez
1,3,0,0,0,0,1628412,202083,1,2019-20,1610612749,Bucks,Frank Mason,Wesley Matthews
1,8,0,1,0,1,1628425,101107,3,2019-20,1610612749,Bucks,Sterling Brown,Marvin Williams
2,12,3,0,0,0,1628425,101141,5,2019-20,1610612749,Bucks,Sterling Brown,Ersan Ilyasova
1,13,2,2,0,0,1628425,201588,5,2019-20,1610612749,Bucks,Sterling Brown,George Hill
1,11,1,2,0,0,1628425,202083,4,2019-20,1610612749,Bucks,Sterling Brown,Wesley Matthews
1,7,1,0,0,1,1628425,203114,3,2019-20,1610612749,Bucks,Sterling Brown,Khris Middleton
2,16,4,0,0,1,1628425,203507,7,2019-20,1610612749,Bucks,Sterling Brown,Giannis Antetokounmpo
2,26,5,2,1,1,1628978,101141,11,2019-20,1610612749,Bucks,Donte DiVincenzo,Ersan Ilyasova
4,23,4,1,0,0,1628978,201572,9,2019-20,1610612749,Bucks,Donte DiVincenzo,Brook Lopez
1,11,2,0,0,2,1628978,201577,5,2019-20,1610612749,Bucks,Donte DiVincenzo,Robin Lopez
1,23,6,2,1,0,1628978,201588,10,2019-20,1610612749,Bucks,Donte DiVincenzo,George Hill
2,26,3,4,0,1,1628978,202083,10,2019-20,1610612749,Bucks,Donte DiVincenzo,Wesley Matthews
3,19,3,0,0,2,1628978,202339,8,2019-20,1610612749,Bucks,Donte DiVincenzo,Eric Bledsoe
6,65,5,3,7,7,1628978,203114,28,2019-20,1610612749,Bucks,Donte DiVincenzo,Khris Middleton
5,75,29,0,1,0,1628978,203507,35,2019-20,1610612749,Bucks,Donte DiVincenzo,Giannis Antetokounmpo
2,8,1,0,0,0,201572,1626192,3,2019-20,1610612749,Bucks,Brook Lopez,Pat Connaughton
1,11,4,0,0,0,201572,1628425,5,2019-20,1610612749,Bucks,Brook Lopez,Sterling Brown
